,state,county,total_votes,dem_votes,rep_votes,other_votes,dem_share,east_west
679,NY,Schoharie County,14402,6009,8071,322,42.68,east
680,NY,Albany County,147266,93937,50586,2743,65.0,east
681,WI,Lafayette County,7831,4732,2984,115,61.33,east
682,NE,Rock County,801,139,640,22,17.84,west
683,NY,Cortland County,21920,11861,9678,381,55.07,east
684,OR,Josephine County,42049,17412,22973,1664,43.12,west
685,MI,Livingston County,99638,42349,55592,1697,43.24,east
686,MI,Ingham County,142729,93994,46483,2252,66.91,east
687,MI,Eaton County,57616,30742,25900,974,54.28,east
688,MI,Barry County,30565,13449,16431,685,45.01,east
689,MI,Allegan County,55279,24165,30061,1053,44.56,east
690,NY,Yates County,10280,4890,5269,121,48.14,east
691,NE,Dixon County,2794,946,1785,63,34.64,west
692,MA,Berkshire County,66130,49558,14876,1696,76.91,east
693,NY,Chenango County,20847,10100,10337,410,49.42,east
694,MA,Franklin County,38529,27919,9545,1065,74.52,east
695,MA,Middlesex County,726031,464484,245766,15781,65.4,east
696,MA,Worcester County,363594,202107,152101,9386,57.06,east
697,ID,Cassia County,7842,1332,6309,201,17.44,west
698,IA,Dubuque County,47953,28611,18651,691,60.54,west
699,WI,Kenosha County,78789,45836,31609,1344,59.19,east
700,IA,Delaware County,8901,4649,4113,139,53.06,west
701,IA,Webster County,18554,9917,8337,300,54.33,west
702,IA,Buchanan County,10338,6050,4139,149,59.38,west
703,IA,Black Hawk County,64775,39184,24662,929,61.37,west
704,NY,Tompkins County,42552,29826,11927,799,71.43,east
705,WY,Goshen County,5912,1832,3942,138,31.73,west
706,WY,Platte County,4560,1407,3002,151,31.92,west
707,ID,Bear Lake County,2943,502,2377,64,17.44,west
708,NY,Steuben County,41911,17148,24203,560,41.47,east
709,NY,Chautauqua County,58802,29129,28579,1094,50.48,east
710,IA,Woodbury County,44801,21983,22219,599,49.74,west
711,IA,Sac County,5053,2256,2705,92,45.48,west
712,IA,Ida County,3547,1454,2036,57,41.66,west
713,IA,Calhoun County,5195,2341,2741,113,46.06,west
714,IA,Hamilton County,8078,4018,3913,147,50.66,west
715,IA,Hardin County,8859,4393,4315,151,50.45,west
716,IA,Grundy County,6828,2790,3945,93,41.42,west
717,MA,Hampshire County,79570,56869,20618,2083,73.39,east
718,NY,Schuyler County,8600,3933,4542,125,46.41,east
719,NY,Cattaraugus County,32617,14307,17770,540,44.6,east
720,NE,Dakota County,6396,2994,3292,110,47.63,west
721,NY,Allegany County,18406,7016,11013,377,38.92,east
722,NY,Delaware County,20389,9462,10524,403,47.34,east
723,IL,Jo Daviess County,11750,6403,5170,177,55.33,east
724,NY,Columbia County,31433,17556,13337,540,56.83,east
725,IL,Stephenson County,21605,11349,9909,347,53.39,east
726,IL,Winnebago County,126031,70034,53886,2111,56.51,east
727,ID,Oneida County,2162,381,1724,57,18.1,west
728,IL,McHenry County,139268,72288,64845,2135,52.72,east
729,IL,Boone County,22157,11333,10403,421,52.14,east
730,IL,Lake County,299105,177242,118545,3318,59.93,east
731,NY,Greene County,22335,9850,12059,426,44.96,east
732,MI,Wayne County,890326,660085,219582,10659,75.04,east
733,MA,Suffolk County,269221,207127,57194,4900,78.37,east
734,NE,Pierce County,3226,783,2385,58,24.71,west
735,NE,Box Butte County,4979,1886,2932,161,39.14,west
736,NE,Antelope County,3185,757,2383,45,24.11,west
737,MI,Washtenaw County,187115,130578,53946,2591,70.76,east
738,WY,Carbon County,6854,2336,4331,187,35.04,west
739,WY,Albany County,17117,8644,7936,537,52.14,west
740,ID,Franklin County,5073,600,4246,227,12.38,west
741,MI,Jackson County,74503,37480,35692,1331,51.22,east
742,MI,Calhoun County,64196,34561,28553,1082,54.76,east
743,MI,Van Buren County,34766,18588,15534,644,54.48,east
744,MI,Kalamazoo County,130781,77051,51554,2176,59.91,east
745,NY,Broome County,88837,47204,40077,1556,54.09,east
746,NY,Tioga County,23131,10172,12536,423,44.8,east
747,IA,Jackson County,9955,6102,3673,180,62.42,west
748,NE,Wayne County,3808,1249,2503,56,33.29,west
749,MA,Norfolk County,344916,200675,136841,7400,59.46,east
750,MA,Hampden County,197720,121454,71350,4916,62.99,east
751,MA,Plymouth County,249817,131817,112904,5096,53.87,east
752,IA,Benton County,13712,7058,6447,207,52.26,west
753,IA,Linn County,113355,68037,43626,1692,60.93,west
754,IA,Tama County,8850,4899,3820,131,56.19,west
755,IA,Jones County,10004,5446,4405,153,55.29,west
756,NY,Chemung County,38695,18888,19364,443,49.38,east
757,NE,Thurston County,2126,1120,972,34,53.54,west
758,WY,Sweetwater County,16703,5762,10360,581,35.74,west
759,PA,Erie County,127691,75775,50351,1565,60.08,east
760,MI,Berrien County,77666,40381,36130,1155,52.78,east
761,IA,Monona County,4796,2295,2411,90,48.77,west
762,IA,Marshall County,18657,10023,8278,356,54.77,west
763,IA,Carroll County,10387,5302,4922,163,51.85,west
764,IA,Crawford County,7191,3715,3345,131,52.62,west
765,IA,Boone County,13929,7356,6293,280,53.89,west
766,IA,Greene County,4804,2371,2349,84,50.23,west
767,IA,Story County,46575,26548,18995,1032,58.29,west
768,IL,Ogle County,24850,11253,13144,453,46.12,east
769,IL,Carroll County,7674,3965,3596,113,52.44,east
770,NY,Ulster County,89149,54320,33300,1529,62.0,east
771,IL,Cook County,2137466,1629024,487736,20706,76.96,east
772,IL,DeKalb County,44818,25784,18266,768,58.53,east
773,IL,Kane County,193299,106756,83963,2580,55.97,east
774,NE,Grant County,367,41,318,8,11.42,west
775,MA,Bristol County,243120,146861,90531,5728,61.86,east
776,MI,Monroe County,76422,39180,35858,1384,52.22,east
777,NE,Hooker County,438,75,355,8,17.44,west
778,NE,Cuming County,4087,1274,2732,81,31.8,west
779,NE,Madison County,14045,4142,9655,248,30.02,west
780,NE,Stanton County,2495,664,1781,50,27.16,west
781,NE,Thomas County,390,51,331,8,13.35,west
782,NE,Wheeler County,440,96,334,10,22.33,west
783,NE,Blaine County,316,43,266,7,13.92,west
784,NE,Loup County,393,86,302,5,22.16,west
785,NE,Garfield County,1030,212,800,18,20.95,west
786,MI,Lenawee County,47734,24640,22225,869,52.58,east
787,NY,Dutchess County,132302,71060,59628,1614,54.37,east
788,MA,Barnstable County,132270,74264,55694,2312,57.14,east
789,MI,Branch County,18285,8413,9534,338,46.88,east
790,MI,Hillsdale County,20449,8765,11221,463,43.86,east
791,MI,Saint Joseph County,25702,12322,12886,494,48.88,east
